DATA START WALK AROUND 2/15 5:30pm
ID,Temperature (degC),Pressure (Pa),Humidity (%),Latitude (deg),Longitude (deg),Mode,GPS Time,Alt,EPX,EPY,EPV,Speed,Hdop,Vdop,Time
326,-13.49,804.1207834421913,53.47384030887652,38.849351177,-104.8235726,3,u'2021-02-16T00:58:20.000Z',1848.726,2.049,2.563,7.303,1.324,,,05:04:11.779323
327,-13.44,804.1472832110902,53.51389517805935,38.849354288,-104.823602923,3,u'2021-02-16T00:58:22.000Z',1848.425,2.055,2.576,7.303,1.402,,,05:04:14.766452
328,-13.4,804.0898817851189,53.53718637270005,38.849356076,-104.82364542,3,u'2021-02-16T00:58:25.000Z',1848.497,2.055,2.576,7.303,1.261,,,05:04:16.762617
329,-13.34,804.1219738394525,53.42714712672564,38.849356433,-104.823689663,3,u'2021-02-16T00:58:28.000Z',1848.56,2.055,2.576,7.303,1.221,,,05:04:19.781103
330,-13.29,804.0982225130879,53.360136410027465,,,,,,,,,,0.78,1.27,05:04:22.765445
331,-13.25,804.1220159910923,53.243987635082426,38.849354081,-104.823759717,3,u'2021-02-16T00:58:33.000Z',1848.597,2.054,2.569,7.303,1.12,,,05:04:25.120768
332,-13.21,804.1185529631387,53.20312723035338,38.849351416,-104.823802219,3,u'2021-02-16T00:58:36.000Z',1849.825,2.054,2.569,7.418,1.215,,,05:04:27.773971
333,-13.15,804.085418914046,53.1575832542483,38.849346407,-104.823847383,3,u'2021-02-16T00:58:39.000Z',1851.679,2.054,2.569,7.303,1.283,,,05:04:30.766404
334,-13.11,804.1319189821095,53.10062195204932,38.849340128,-104.823875677,3,u'2021-02-16T00:58:41.000Z',1852.497,2.054,2.569,7.303,1.231,,,05:04:33.778300
335,-13.06,804.1067852932151,52.91519919272645,38.849335177,-104.823917779,3,u'2021-02-16T00:58:44.000Z',1854.04,2.054,2.569,7.303,1.142,,,05:04:35.779863
336,-13.02,804.0998207788828,52.87952018655706,38.849332771,-104.823960532,3,u'2021-02-16T00:58:47.000Z',1854.835,2.054,2.569,7.303,1.177,,,05:04:38.764138
337,-12.98,804.0893764102651,52.81156935058962,38.849333739,-104.824001602,3,u'2021-02-16T00:58:50.000Z',1855.084,2.054,2.569,7.475,1.138,,,05:04:41.779199
338,-12.95,804.1631407743075,52.775636231995634,38.849331965,-104.824029853,3,u'2021-02-16T00:58:52.000Z',1855.52,2.057,2.566,7.303,1.283,,,05:04:44.768306
339,-12.93,804.0997685033808,52.72284062148901,38.849329656,-104.824076189,3,u'2021-02-16T00:58:55.000Z',1857.623,2.057,2.566,7.418,1.235,,,05:04:46.767506
340,-12.89,804.0799519420558,52.537038127384996,38.849334406,-104.824125487,3,u'2021-02-16T00:58:58.000Z',1858.308,2.057,2.566,7.303,1.382,,,05:04:49.775073
341,-12.84,804.1085168646349,52.43730023428854,,,,,,,,,,0.83,1.46,05:04:52.790610
342,-12.82,804.1111705084645,52.352403542334976,38.849339444,-104.824204614,3,u'2021-02-16T00:59:03.000Z',1859.048,2.116,2.862,8.395,1.352,,,05:04:55.119300
343,-12.78,804.1509736259638,52.27899266312243,38.849344807,-104.824253153,3,u'2021-02-16T00:59:06.000Z',1859.153,2.116,2.862,22.137,1.439,,,05:04:57.761195
344,-12.75,804.0832766370502,52.1838982181214,38.84934453,-104.824305522,3,u'2021-02-16T00:59:09.000Z',1859.399,2.116,2.862,22.195,1.238,,,05:05:00.761313
345,-12.71,804.0941939398998,52.126426060994945,38.84934681,-104.824336753,3,u'2021-02-16T00:59:11.000Z',1859.594,4.304,12.742,27.198,1.317,,,05:05:03.760314
346,-12.69,804.138291161354,52.052320980103275,38.849353431,-104.824385045,3,u'2021-02-16T00:59:14.000Z',1858.41,4.304,12.742,22.195,1.547,,,05:05:05.761296
347,-12.66,804.1101711972441,52.06948957495287,38.84936295,-104.824438285,3,u'2021-02-16T00:59:17.000Z',1856.556,4.304,12.742,7.303,1.305,,,05:05:08.761388
348,-12.64,804.1165550588964,51.92027138824473,38.849367687,-104.824487036,3,u'2021-02-16T00:59:20.000Z',1854.659,4.304,12.742,7.418,1.527,,,05:05:11.767011
349,-12.61,804.0988473289085,51.84655353859,38.849364105,-104.824521373,3,u'2021-02-16T00:59:22.000Z',1854.276,2.173,2.435,7.418,1.651,,,05:05:14.780705
350,-12.6,804.1413572890551,51.69686195388881,38.84937322,-104.824570167,3,u'2021-02-16T00:59:25.000Z',1852.653,2.173,2.435,7.475,1.378,,,05:05:16.779553
351,-12.58,804.0870282809417,51.93893883963416,38.84937303,-104.824616004,3,u'2021-02-16T00:59:28.000Z',1851.292,2.173,2.435,7.303,1.481,,,05:05:19.769077
352,-12.56,804.127385157869,52.03636842675081,,,,,,,,,,0.79,1.3,05:05:22.780787
353,-12.55,804.1161310709051,52.06898998098926,38.849379761,-104.824689996,3,u'2021-02-16T00:59:33.000Z',1850.332,2.035,2.35,7.303,1.391,,,05:05:25.132994
354,-12.53,804.1225082391742,51.99484855503211,38.849386741,-104.82473751,3,u'2021-02-16T00:59:36.000Z',1849.609,2.035,2.35,7.303,1.075,,,05:05:27.769217
355,-12.52,804.1168804186813,52.04335420569798,38.84938345,-104.824783377,3,u'2021-02-16T00:59:39.000Z',1849.314,2.035,2.35,7.303,1.265,,,05:05:30.780209
356,-12.51,804.0553282686242,52.27450537568931,38.849374606,-104.824811972,3,u'2021-02-16T00:59:41.000Z',1849.273,2.035,2.35,7.303,1.333,,,05:05:33.767218
357,-12.49,804.0614337003749,52.14133937580303,38.849343489,-104.824838999,3,u'2021-02-16T00:59:44.000Z',1849.307,2.035,2.35,7.303,1.296,,,05:05:35.767123
358,-12.49,804.0397573249984,51.77117507562481,38.849311063,-104.824859467,3,u'2021-02-16T00:59:47.000Z',1850.079,2.035,2.35,7.303,1.422,,,05:05:38.782209
359,-12.46,804.0279226559338,51.55229515150505,38.849277701,-104.824880473,3,u'2021-02-16T00:59:50.000Z',1850.039,2.035,2.35,7.475,1.291,,,05:05:41.767823
360,-12.45,804.009717177359,51.370009397044726,38.849256752,-104.824900119,3,u'2021-02-16T00:59:52.000Z',1849.675,2.087,2.594,7.303,1.444,,,05:05:44.780122
